----------------------------------------------------------------------------------------------------
| Vardas               | Pavarde              | ND1 | ND2 | ND3 | ND4 | Egzaminas | Galutinis (Vid)      |
| Vardas315            | Pavarde315           | 10   | 3    | 7    | 4    | 5        | 5.40                 |
| Vardas316            | Pavarde316           | 6    | 10   | 8    | 1    | 4        | 4.90                 |
| Vardas317            | Pavarde317           | 7    | 2    | 8    | 7    | 2        | 3.60                 |
| Vardas318            | Pavarde318           | 6    | 4    | 5    | 1    | 4        | 4.00                 |
| Vardas319            | Pavarde319           | 6    | 6    | 4    | 2    | 5        | 4.80                 |
| Vardas320            | Pavarde320           | 9    | 9    | 1    | 2    | 3        | 3.90                 |
| Vardas321            | Pavarde321           | 6    | 1    | 6    | 10   | 0        | 2.30                 |
| Vardas322            | Pavarde322           | 10   | 4    | 6    | 5    | 1        | 3.10                 |
| Vardas323            | Pavarde323           | 8    | 3    | 7    | 8    | 10       | 8.60                 |
| Vardas324            | Pavarde324           | 3    | 1    | 2    | 2    | 9        | 6.20                 |
| Vardas325            | Pavarde325           | 6    | 10   | 2    | 9    | 1        | 3.30                 |
| Vardas326            | Pavarde326           | 8    | 9    | 7    | 7    | 8        | 7.90                 |
| Vardas327            | Pavarde327           | 10   | 3    | 7    | 7    | 1        | 3.30                 |
| Vardas328            | Pavarde328           | 9    | 5    | 1    | 4    | 7        | 6.10                 |
| Vardas329            | Pavarde329           | 9    | 4    | 2    | 2    | 9        | 7.10                 |
| Vardas330            | Pavarde330           | 6    | 8    | 7    | 3    | 3        | 4.20                 |
| Vardas331            | Pavarde331           | 7    | 2    | 2    | 6    | 8        | 6.50                 |
| Vardas332            | Pavarde332           | 5    | 9    | 6    | 7    | 3        | 4.50                 |
| Vardas333            | Pavarde333           | 10   | 9    | 5    | 4    | 3        | 4.60                 |
| Vardas334            | Pavarde334           | 6    | 4    | 9    | 4    | 10       | 8.30                 |
| Vardas335            | Pavarde335           | 8    | 1    | 7    | 9    | 4        | 4.90                 |
| Vardas336            | Pavarde336           | 2    | 2    | 10   | 6    | 7        | 6.20                 |
| Vardas337            | Pavarde337           | 7    | 4    | 2    | 6    | 5        | 4.90                 |
| Vardas338            | Pavarde338           | 5    | 1    | 4    | 2    | 8        | 6.00                 |
| Vardas339            | Pavarde339           | 10   | 1    | 4    | 6    | 0        | 2.10                 |
| Vardas340            | Pavarde340           | 10   | 2    | 3    | 7    | 3        | 4.00                 |
| Vardas341            | Pavarde341           | 8    | 1    | 2    | 6    | 10       | 7.70                 |
| Vardas342            | Pavarde342           | 3    | 10   | 1    | 6    | 9        | 7.40                 |
| Vardas343            | Pavarde343           | 9    | 4    | 7    | 9    | 8        | 7.70                 |
| Vardas344            | Pavarde344           | 7    | 2    | 7    | 7    | 10       | 8.30                 |
| Vardas345            | Pavarde345           | 1    | 5    | 10   | 9    | 2        | 3.70                 |
| Vardas346            | Pavarde346           | 5    | 10   | 9    | 8    | 0        | 3.20                 |
| Vardas347            | Pavarde347           | 7    | 5    | 9    | 7    | 1        | 3.40                 |
| Vardas348            | Pavarde348           | 8    | 9    | 1    | 10   | 4        | 5.20                 |
| Vardas349            | Pavarde349           | 7    | 10   | 1    | 1    | 0        | 1.90                 |
| Vardas350            | Pavarde350           | 4    | 6    | 6    | 9    | 5        | 5.50                 |
| Vardas351            | Pavarde351           | 2    | 8    | 8    | 5    | 9        | 7.70                 |
| Vardas352            | Pavarde352           | 8    | 1    | 8    | 5    | 9        | 7.60                 |
| Vardas353            | Pavarde353           | 3    | 2    | 9    | 4    | 8        | 6.60                 |
| Vardas354            | Pavarde354           | 8    | 2    | 5    | 8    | 10       | 8.30                 |
| Vardas355            | Pavarde355           | 9    | 3    | 4    | 1    | 3        | 3.50                 |
| Vardas356            | Pavarde356           | 8    | 9    | 9    | 6    | 1        | 3.80                 |
| Vardas357            | Pavarde357           | 8    | 2    | 4    | 5    | 9        | 7.30                 |
| Vardas358            | Pavarde358           | 2    | 4    | 8    | 2    | 3        | 3.40                 |
| Vardas359            | Pavarde359           | 8    | 6    | 4    | 5    | 3        | 4.10                 |
| Vardas360            | Pavarde360           | 6    | 6    | 2    | 5    | 1        | 2.50                 |
| Vardas361            | Pavarde361           | 3    | 7    | 7    | 4    | 10       | 8.10                 |
| Vardas362            | Pavarde362           | 1    | 1    | 9    | 2    | 7        | 5.50                 |
| Vardas363            | Pavarde363           | 9    | 2    | 7    | 10   | 3        | 4.60                 |
| Vardas364            | Pavarde364           | 1    | 2    | 4    | 10   | 5        | 4.70                 |
| Vardas365            | Pavarde365           | 10   | 4    | 7    | 6    | 0        | 2.70                 |
| Vardas366            | Pavarde366           | 5    | 1    | 6    | 1    | 0        | 1.30                 |
| Vardas367            | Pavarde367           | 6    | 6    | 2    | 9    | 7        | 6.50                 |
| Vardas368            | Pavarde368           | 7    | 3    | 3    | 6    | 1        | 2.50                 |
| Vardas369            | Pavarde369           | 6    | 3    | 6    | 3    | 4        | 4.20                 |
| Vardas370            | Pavarde370           | 7    | 8    | 3    | 9    | 4        | 5.10                 |
| Vardas371            | Pavarde371           | 1    | 7    | 9    | 4    | 7        | 6.30                 |
| Vardas372            | Pavarde372           | 7    | 5    | 4    | 8    | 3        | 4.20                 |
| Vardas373            | Pavarde373           | 6    | 3    | 1    | 8    | 9        | 7.20                 |
| Vardas374            | Pavarde374           | 7    | 2    | 9    | 2    | 8        | 6.80                 |
| Vardas375            | Pavarde375           | 6    | 7    | 6    | 10   | 1        | 3.50                 |
| Vardas376            | Pavarde376           | 7    | 6    | 3    | 4    | 5        | 5.00                 |
| Vardas377            | Pavarde377           | 2    | 3    | 3    | 9    | 3        | 3.50                 |
| Vardas378            | Pavarde378           | 9    | 8    | 5    | 1    | 2        | 3.50                 |
| Vardas379            | Pavarde379           | 6    | 10   | 10   | 6    | 1        | 3.80                 |
| Vardas380            | Pavarde380           | 1    | 10   | 10   | 6    | 8        | 7.50                 |
| Vardas381            | Pavarde381           | 2    | 2    | 3    | 4    | 9        | 6.50                 |
| Vardas382            | Pavarde382           | 10   | 8    | 3    | 4    | 8        | 7.30                 |
| Vardas383            | Pavarde383           | 1    | 5    | 9    | 5    | 10       | 8.00                 |
| Vardas384            | Pavarde384           | 10   | 3    | 5    | 10   | 0        | 2.80                 |
| Vardas385            | Pavarde385           | 6    | 8    | 5    | 8    | 5        | 5.70                 |
| Vardas386            | Pavarde386           | 7    | 4    | 1    | 10   | 10       | 8.20                 |
| Vardas387            | Pavarde387           | 9    | 1    | 2    | 6    | 5        | 4.80                 |
| Vardas388            | Pavarde388           | 1    | 4    | 10   | 6    | 6        | 5.70                 |
| Vardas389            | Pavarde389           | 10   | 7    | 3    | 6    | 2        | 3.80                 |
| Vardas390            | Pavarde390           | 7    | 4    | 9    | 6    | 1        | 3.20                 |
| Vardas391            | Pavarde391           | 4    | 1    | 3    | 6    | 1        | 2.00                 |
| Vardas392            | Pavarde392           | 6    | 8    | 8    | 10   | 10       | 9.20                 |
| Vardas393            | Pavarde393           | 2    | 8    | 9    | 6    | 1        | 3.10                 |
| Vardas394            | Pavarde394           | 9    | 9    | 5    | 3    | 5        | 5.60                 |
| Vardas395            | Pavarde395           | 9    | 5    | 2    | 4    | 4        | 4.40                 |
| Vardas396            | Pavarde396           | 5    | 2    | 8    | 8    | 9        | 7.70                 |
| Vardas397            | Pavarde397           | 2    | 4    | 2    | 4    | 10       | 7.20                 |
| Vardas398            | Pavarde398           | 6    | 2    | 6    | 1    | 0        | 1.50                 |
| Vardas399            | Pavarde399           | 2    | 3    | 3    | 2    | 3        | 2.80                 |
| Vardas400            | Pavarde400           | 6    | 4    | 9    | 10   | 5        | 5.90                 |
| Vardas401            | Pavarde401           | 9    | 5    | 3    | 8    | 1        | 3.10                 |
| Vardas402            | Pavarde402           | 9    | 5    | 1    | 10   | 10       | 8.50                 |
| Vardas403            | Pavarde403           | 5    | 4    | 6    | 9    | 10       | 8.40                 |
| Vardas404            | Pavarde404           | 2    | 1    | 4    | 4    | 2        | 2.30                 |
| Vardas405            | Pavarde405           | 1    | 7    | 8    | 6    | 6        | 5.80                 |
| Vardas406            | Pavarde406           | 7    | 1    | 10   | 9    | 7        | 6.90                 |
| Vardas407            | Pavarde407           | 6    | 8    | 10   | 1    | 3        | 4.30                 |
| Vardas408            | Pavarde408           | 9    | 8    | 5    | 1    | 4        | 4.70                 |
| Vardas409            | Pavarde409           | 4    | 6    | 5    | 2    | 3        | 3.50                 |
| Vardas410            | Pavarde410           | 7    | 5    | 6    | 3    | 6        | 5.70                 |
| Vardas411            | Pavarde411           | 2    | 3    | 5    | 10   | 3        | 3.80                 |
| Vardas412            | Pavarde412           | 4    | 8    | 7    | 6    | 6        | 6.10                 |
| Vardas413            | Pavarde413           | 8    | 9    | 10   | 8    | 1        | 4.10                 |
| Vardas414            | Pavarde414           | 2    | 7    | 6    | 1    | 0        | 1.60                 |
| Vardas415            | Pavarde415           | 4    | 3    | 7    | 1    | 3        | 3.30                 |
| Vardas416            | Pavarde416           | 8    | 5    | 5    | 10   | 5        | 5.80                 |
| Vardas417            | Pavarde417           | 7    | 2    | 2    | 10   | 10       | 8.10                 |
| Vardas418            | Pavarde418           | 5    | 3    | 2    | 10   | 2        | 3.20                 |
| Vardas419            | Pavarde419           | 1    | 10   | 4    | 4    | 2        | 3.10                 |
| Vardas420            | Pavarde420           | 2    | 4    | 6    | 7    | 10       | 7.90                 |
| Vardas421            | Pavarde421           | 6    | 10   | 9    | 9    | 7        | 7.60                 |
| Vardas422            | Pavarde422           | 10   | 6    | 2    | 4    | 8        | 7.00                 |
| Vardas423            | Pavarde423           | 3    | 9    | 9    | 2    | 1        | 2.90                 |
| Vardas424            | Pavarde424           | 9    | 2    | 4    | 4    | 7        | 6.10                 |
| Vardas425            | Pavarde425           | 4    | 10   | 3    | 8    | 9        | 7.90                 |
| Vardas426            | Pavarde426           | 2    | 8    | 7    | 2    | 8        | 6.70                 |
| Vardas427            | Pavarde427           | 4    | 1    | 7    | 1    | 6        | 4.90                 |
| Vardas428            | Pavarde428           | 6    | 7    | 1    | 8    | 8        | 7.00                 |
| Vardas429            | Pavarde429           | 1    | 10   | 6    | 5    | 1        | 2.80                 |
| Vardas430            | Pavarde430           | 3    | 6    | 7    | 1    | 10       | 7.70                 |
| Vardas431            | Pavarde431           | 9    | 2    | 6    | 8    | 8        | 7.30                 |
| Vardas432            | Pavarde432           | 8    | 10   | 3    | 4    | 9        | 7.90                 |
| Vardas433            | Pavarde433           | 3    | 8    | 10   | 4    | 0        | 2.50                 |
| Vardas434            | Pavarde434           | 4    | 9    | 2    | 1    | 1        | 2.20                 |
| Vardas435            | Pavarde435           | 9    | 8    | 7    | 6    | 3        | 4.80                 |
| Vardas436            | Pavarde436           | 3    | 10   | 6    | 7    | 7        | 6.80                 |
| Vardas437            | Pavarde437           | 6    | 5    | 2    | 4    | 0        | 1.70                 |
| Vardas438            | Pavarde438           | 6    | 1    | 10   | 3    | 7        | 6.20                 |
| Vardas439            | Pavarde439           | 4    | 4    | 6    | 3    | 7        | 5.90                 |
| Vardas440            | Pavarde440           | 1    | 5    | 9    | 6    | 2        | 3.30                 |
| Vardas441            | Pavarde441           | 4    | 4    | 1    | 4    | 9        | 6.70                 |
| Vardas442            | Pavarde442           | 4    | 3    | 2    | 2    | 4        | 3.50                 |
| Vardas443            | Pavarde443           | 9    | 2    | 9    | 8    | 9        | 8.20                 |
| Vardas444            | Pavarde444           | 9    | 10   | 3    | 4    | 4        | 5.00                 |
| Vardas445            | Pavarde445           | 3    | 9    | 3    | 6    | 8        | 6.90                 |
| Vardas446            | Pavarde446           | 9    | 2    | 3    | 5    | 5        | 4.90                 |
| Vardas447            | Pavarde447           | 9    | 9    | 3    | 8    | 5        | 5.90                 |
| Vardas448            | Pavarde448           | 8    | 10   | 6    | 1    | 2        | 3.70                 |
| Vardas449            | Pavarde449           | 5    | 1    | 2    | 6    | 9        | 6.80                 |
| Vardas450            | Pavarde450           | 5    | 3    | 4    | 3    | 3        | 3.30                 |
| Vardas451            | Pavarde451           | 5    | 10   | 3    | 5    | 9        | 7.70                 |
| Vardas452            | Pavarde452           | 1    | 5    | 5    | 10   | 5        | 5.10                 |
| Vardas453            | Pavarde453           | 6    | 4    | 3    | 4    | 1        | 2.30                 |
| Vardas454            | Pavarde454           | 2    | 8    | 2    | 10   | 10       | 8.20                 |
| Vardas455            | Pavarde455           | 9    | 4    | 3    | 10   | 3        | 4.40                 |
| Vardas456            | Pavarde456           | 4    | 3    | 9    | 4    | 6        | 5.60                 |
| Vardas457            | Pavarde457           | 1    | 3    | 1    | 2    | 10       | 6.70                 |
| Vardas458            | Pavarde458           | 2    | 1    | 8    | 7    | 0        | 1.80                 |
| Vardas459            | Pavarde459           | 9    | 1    | 6    | 9    | 2        | 3.70                 |
| Vardas460            | Pavarde460           | 10   | 6    | 8    | 4    | 1        | 3.40                 |
| Vardas461            | Pavarde461           | 3    | 3    | 1    | 1    | 3        | 2.60                 |
| Vardas462            | Pavarde462           | 4    | 2    | 7    | 9    | 1        | 2.80                 |
| Vardas463            | Pavarde463           | 8    | 3    | 9    | 8    | 1        | 3.40                 |
| Vardas464            | Pavarde464           | 6    | 10   | 3    | 10   | 10       | 8.90                 |
| Vardas465            | Pavarde465           | 4    | 1    | 9    | 2    | 3        | 3.40                 |
| Vardas466            | Pavarde466           | 3    | 1    | 3    | 5    | 5        | 4.20                 |
| Vardas467            | Pavarde467           | 6    | 9    | 2    | 1    | 1        | 2.40                 |
| Vardas468            | Pavarde468           | 8    | 2    | 7    | 10   | 7        | 6.90                 |
| Vardas469            | Pavarde469           | 1    | 4    | 8    | 4    | 3        | 3.50                 |
| Vardas470            | Pavarde470           | 5    | 4    | 3    | 4    | 4        | 4.00                 |
| Vardas471            | Pavarde471           | 1    | 3    | 8    | 8    | 10       | 8.00                 |
| Vardas472            | Pavarde472           | 4    | 1    | 8    | 1    | 4        | 3.80                 |
| Vardas473            | Pavarde473           | 7    | 4    | 2    | 10   | 7        | 6.50                 |
| Vardas474            | Pavarde474           | 7    | 2    | 6    | 2    | 10       | 7.70                 |
| Vardas475            | Pavarde475           | 10   | 8    | 4    | 1    | 7        | 6.50                 |
| Vardas476            | Pavarde476           | 2    | 6    | 2    | 8    | 4        | 4.20                 |
| Vardas477            | Pavarde477           | 8    | 10   | 5    | 10   | 4        | 5.70                 |
| Vardas478            | Pavarde478           | 1    | 1    | 2    | 9    | 7        | 5.50                 |
| Vardas479            | Pavarde479           | 1    | 9    | 10   | 3    | 10       | 8.30                 |
| Vardas480            | Pavarde480           | 1    | 9    | 6    | 2    | 1        | 2.40                 |
| Vardas481            | Pavarde481           | 8    | 4    | 7    | 2    | 2        | 3.30                 |
| Vardas482            | Pavarde482           | 9    | 1    | 9    | 7    | 6        | 6.20                 |
| Vardas483            | Pavarde483           | 8    | 2    | 1    | 3    | 8        | 6.20                 |
| Vardas484            | Pavarde484           | 4    | 6    | 6    | 7    | 3        | 4.10                 |
| Vardas485            | Pavarde485           | 5    | 10   | 4    | 9    | 4        | 5.20                 |
| Vardas486            | Pavarde486           | 3    | 4    | 4    | 8    | 9        | 7.30                 |
| Vardas487            | Pavarde487           | 1    | 2    | 5    | 9    | 1        | 2.30                 |
| Vardas488            | Pavarde488           | 9    | 10   | 9    | 10   | 9        | 9.20                 |
| Vardas489            | Pavarde489           | 10   | 2    | 10   | 6    | 1        | 3.40                 |
| Vardas490            | Pavarde490           | 10   | 7    | 10   | 4    | 2        | 4.30                 |
| Vardas491            | Pavarde491           | 2    | 5    | 2    | 5    | 2        | 2.60                 |
| Vardas492            | Pavarde492           | 8    | 7    | 4    | 5    | 1        | 3.00                 |
| Vardas493            | Pavarde493           | 4    | 9    | 4    | 5    | 3        | 4.00                 |
| Vardas494            | Pavarde494           | 8    | 9    | 10   | 1    | 0        | 2.80                 |
| Vardas495            | Pavarde495           | 5    | 1    | 8    | 4    | 9        | 7.20                 |
| Vardas496            | Pavarde496           | 10   | 5    | 6    | 7    | 10       | 8.80                 |
| Vardas497            | Pavarde497           | 10   | 9    | 10   | 10   | 7        | 8.10                 |
| Vardas498            | Pavarde498           | 1    | 9    | 5    | 6    | 4        | 4.50                 |
| Vardas499            | Pavarde499           | 10   | 4    | 7    | 3    | 9        | 7.80                 |
| Vardas500            | Pavarde500           | 1    | 7    | 6    | 2    | 0        | 1.60                 |
